/Users/joe-caozhi/Library/Python/3.9/lib/python/site-packages/gymnasium/envs/registration.py:519: DeprecationWarning: [33mWARN: The environment HalfCheetah-v4 is out of date. You should consider upgrading to version `v5`.[0m
  logger.deprecation(

======================================================================
  Multi-Seed Statistical Power Experiment
  Mode: quick | n_seeds=10
  Envs: ['HalfCheetah-v4']
  Algorithms: ['Standard_PPO', 'HCGAE_Imp12', 'HCGAE_Imp12_SCR']
  Total runs: 30
  Estimated time: ~2 min (5 min/run)
======================================================================

  [1/30] SKIP HalfCheetah-v4 Standard_PPO seed=1
  [2/30] SKIP HalfCheetah-v4 Standard_PPO seed=2
  [3/30] SKIP HalfCheetah-v4 Standard_PPO seed=3
  [4/30] SKIP HalfCheetah-v4 Standard_PPO seed=4
  [5/30] SKIP HalfCheetah-v4 Standard_PPO seed=5
  [6/30] SKIP HalfCheetah-v4 Standard_PPO seed=6
  [7/30] SKIP HalfCheetah-v4 Standard_PPO seed=7
  [8/30] SKIP HalfCheetah-v4 Standard_PPO seed=8

  [9/30] HalfCheetah-v4 | Standard_PPO | seed=9
  [Standard_PPO_s9     ]    2048/300000 | Eval=    N/A Rec=-667.5 | VL=26.725 EV=-0.006 | KL=0.0084 clip=0.122 |  2137fps     1s
  [Standard_PPO_s9     ]   10240/300000 | Eval=    0.7 Rec=-649.7 | VL=15.088 EV=+0.196 | KL=0.0081 clip=0.113 |  2067fps     5s
  [Standard_PPO_s9     ]   12288/300000 | Eval=    0.7 Rec=-627.2 | VL=11.747 EV=+0.328 | KL=0.0094 clip=0.142 |  2053fps     6s
  [Standard_PPO_s9     ]   20480/300000 | Eval=   -6.2 Rec=-590.6 | VL=17.281 EV=+0.524 | KL=0.0092 clip=0.137 |  1904fps    11s
  [Standard_PPO_s9     ]   22528/300000 | Eval=   -6.2 Rec=-573.1 | VL=13.050 EV=+0.618 | KL=0.0090 clip=0.133 |  1933fps    12s
  [Standard_PPO_s9     ]   30720/300000 | Eval=  -13.8 Rec=-511.0 | VL=13.511 EV=+0.449 | KL=0.0111 clip=0.173 |  1975fps    16s
  [Standard_PPO_s9     ]   32768/300000 | Eval=  -13.8 Rec=-501.7 | VL=24.823 EV=+0.613 | KL=0.0103 clip=0.156 |  2005fps    16s
  [Standard_PPO_s9     ]   40960/300000 | Eval=  -32.0 Rec=-444.7 | VL=12.336 EV=+0.371 | KL=0.0113 clip=0.176 |  2015fps    20s
  [Standard_PPO_s9     ]   43008/300000 | Eval=  -32.0 Rec=-435.7 | VL=5.855 EV=+0.608 | KL=0.0107 clip=0.163 |  2015fps    21s
  [Standard_PPO_s9     ]   51200/300000 | Eval=  -28.8 Rec=-377.0 | VL=8.753 EV=+0.724 | KL=0.0107 clip=0.161 |  1986fps    26s
  [Standard_PPO_s9     ]   53248/300000 | Eval=  -28.8 Rec=-371.3 | VL=5.481 EV=+0.708 | KL=0.0114 clip=0.173 |  2002fps    27s
  [Standard_PPO_s9     ]   61440/300000 | Eval=  -14.6 Rec=-352.1 | VL=7.917 EV=+0.510 | KL=0.0113 clip=0.170 |  2024fps    30s
  [Standard_PPO_s9     ]   63488/300000 | Eval=  -14.6 Rec=-342.7 | VL=6.613 EV=+0.616 | KL=0.0121 clip=0.185 |  2040fps    31s
